NUM,NAME,SCORE,ABV,DES,TASTE,IMG
31,"SMIRNOFF RED, WHITE, & BERRY",3.3,30,none,none,"https://ip-distiller.imgix.net/images/spirits/5bec2e50-8711-0136-7009-7a203cf8f87b/smirnoff_red_white_berry_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
32,ABSOLUT PEPPAR,3,40,"First introduced in 1986, this was Absolut's first--but far from last--flavored vodka. Using their standard winter wheat vodka as its base, natural flavors are added evoking flavors of jalapeño and bell pepper. No sugar added. Kick your Bloody Marys up a notch.",none,"https://ip-distiller.imgix.net/images/spirits/82203ea0-681e-0135-a990-2a7e59f1f483/absolut_peppar_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
33,SOPLICA HAZELNUT,3.94,30,none,none,"https://ip-distiller.imgix.net/images/spirits/3e95a0f0-e2eb-0136-136f-421cecac808a/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
34,44 NORTH MOUNTAIN HUCKLEBERRY,4.36,35,"This huckleberry-flavored vodka uses the brand's unflavored vodka made from potatoes as its base. That is distilled from 100% Idaho potatoes, Burbank and Russet, and is naturally gluten-free. It is brought down to 35% ABV using Rocky Mountain water. 44 North is named for the latitude that crosses through Idaho. Try with lemonade or club soda!",none,"https://ip-distiller.imgix.net/images/spirits/38ce5110-9e6d-0135-bbed-42f6c290634c/44_north_mountain_huckleberry_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
35,GREY GOOSE CHERRY NOIR,2.78,40,"Cherry Noir was first introduced in 2012. It is made with the natural essences of cherries, including black cherries from the French Basque Country. These essences are added to Grey Goose's standard winter wheat-based vodka. Bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/659bef00-929a-0135-c976-72ae5046e220/grey_goose_cherry_noir_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
36,OYO STONE FRUIT VODKA,4.61,35,"This forward-thinking vodka from Ohio pours a fantastic amber-crimson color because of its infusion of Montmorency cherries, yellow peaches, apricots, almonds, hibiscus and a touch of local honey. The base vodka is made of local wheat and distilled no less than 34 times.","{""grain"":0,""earthy"":35,""spicy"":55,""herbal"":5,""oily"":5,""chemical"":0,""rich"":40,""sweet"":70,""mineral"":0,""neutral"":10,""harsh"":0,""bitter"":0,""fruity"":90,""floral"":75}","https://ip-distiller.imgix.net/images/spirits/0bb44cd0-885c-0135-e321-028f4ecfff0c/oyo_stone_fruit_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
37,DEEP EDDY LIME,3.31,35,"Deep Eddy Lime is made using the brand's Original Vodka (column-distilled corn-based) as the base. This lime flavored vodka is made with real lime juice. Deep Eddy Distillery is located in Buda, Texas just outside Austin where the brand's headquarters are located. Deep Eddy Lime is bottled at 35% ABV. Available as of March 2021.","{""grain"":10,""earthy"":0,""spicy"":0,""herbal"":0,""oily"":0,""chemical"":3,""rich"":20,""sweet"":20,""mineral"":20,""neutral"":0,""harsh"":5,""bitter"":5,""fruity"":80,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/551d85f0-53ae-0139-9026-4a3ba115ba4e/deepeddylime_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
38,ABSOLUT JUICE APPLE EDITION,2.52,35,Absolut Juice Apple Edition was released in summer 2019. It is made with Absolut Vodka and 5% fruit juice. The color is obtained by the natural juice. No artificial flavors are added. Each serving contains just 99 calories per 1.5 fl oz.,"{""grain"":0,""earthy"":0,""spicy"":0,""herbal"":0,""oily"":25,""chemical"":0,""rich"":15,""sweet"":80,""mineral"":0,""neutral"":0,""harsh"":0,""bitter"":0,""fruity"":40,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/a4a75ae0-8ae7-0137-c434-4217c268f9cd/absolut_juice_apple_edition_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
39,NEW AMSTERDAM PEACH VODKA,2.22,35,none,none,"https://ip-distiller.imgix.net/images/spirits/3064e9d0-eb8b-0136-f363-52e5bb7529ce/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
40,CÎROC BLACK RASPBERRY,3.72,35,"This flavored vodka extension from the French vodka brand infuses black raspberry and other natural flavors with their flagship grape-based vodka. CÎROC Black Raspberry is a limited edition released fall 2018, in time for the holiday season.",none,"https://ip-distiller.imgix.net/images/spirits/8ec06e30-ae36-0136-8270-6600f124f256/ciroc_black_raspberry_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
