,순서,상품명,별점,도수,설명,맛과향,이미지
30,31,PRAIRIE ORGANIC VODKA,3.83,40.0,"Prairie Organic Vodka is distilled from non-GMO organic corn sourced from farmers in Minnesota. After harvest, the corn is brought to a co-op farm where the corn is milled, mashed, and fermented. This fermented mash is then taken to the Prairie distillery where it is column-distilled.","{""grain"":65,""earthy"":5,""spicy"":10,""herbal"":0,""oily"":5,""chemical"":0,""rich"":5,""sweet"":26,""mineral"":30,""neutral"":80,""harsh"":15,""bitter"":0,""fruity"":20,""floral"":45}","https://ip-distiller.imgix.net/images/spirits/72f22510-891d-0135-4107-7aaa98deef23/prairie_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
31,32,ŻUBRÓWKA BIAŁA VODKA,3.75,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/1e633be0-ccb8-0136-5682-020e31d48091/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
32,33,NEMIROFF ORIGINAL VODKA,3.84,40.0,"A product of the Ukraine, Nemiroff Original is a wheat-based vodka that's filtered 11 times. Bottled at 40% ABV.","{""grain"":20,""earthy"":0,""spicy"":25,""herbal"":0,""oily"":10,""chemical"":0,""rich"":0,""sweet"":15,""mineral"":0,""neutral"":90,""harsh"":0,""bitter"":0,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/deccba00-8d0c-0135-c32c-2a6c85e607e8/nemiroff_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
33,34,ZYR RUSSIAN VODKA,4.46,40.0,"ZYR is distilled from Russian winter wheat and rye with water sourced from northwest Russia. After distillation, it is filtered through birch tree charcoal granules. ZYR is short for the Russian phrase ""zyrkalo mira"" meaning ""reflection of the world"".",none,"https://ip-distiller.imgix.net/images/spirits/8cb7c890-830b-0135-419f-0e70a2773e38/zyr_russian_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
34,35,PLATINUM 7X VODKA,3.74,40.0,"This vodka was first introduced in 1996. It is made from 100% American grains and is ""seven times distilled"", hence the name. Bottled at 40%. Produced and bottled by the Sazerac Company.","{""grain"":15,""earthy"":30,""spicy"":80,""herbal"":15,""oily"":15,""chemical"":0,""rich"":70,""sweet"":45,""mineral"":0,""neutral"":30,""harsh"":15,""bitter"":30,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/b4b1f3b0-9438-0135-aee0-46fa383a6eed/platinum_7x_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
35,36,TOWER VODKA,3.51,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/e83ffea0-f05e-0136-4260-3ed604972e57/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
36,37,NIKKA COFFEY VODKA,4.47,40.0,"This vodka from Nikka uses a base of corn and barley malt distillate which were distilled in a Coffey Still as the name suggests. The corn and barley malt were individually distilled and blended, diluted, and filtered with white birch charcoal. Bottled at 40% ABV.","{""grain"":40,""earthy"":10,""spicy"":20,""herbal"":15,""oily"":15,""chemical"":0,""rich"":70,""sweet"":20,""mineral"":15,""neutral"":85,""harsh"":0,""bitter"":0,""fruity"":25,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/2c8491e0-83b3-0135-c71d-563b74da95d6/nikka_coffey_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
37,38,ULTIMAT VODKA,4.04,40.0,"This vodka is distilled from wheat, rye, and potatoes--not something you see every day. Made in Poland, this vodka is a product of the Patrón Spirits Company. Packaged in a eye-catching blue cobalt bottle. It is 40% ABV.","{""grain"":30,""earthy"":30,""spicy"":25,""herbal"":0,""oily"":25,""chemical"":0,""rich"":35,""sweet"":30,""mineral"":0,""neutral"":85,""harsh"":15,""bitter"":40,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/dab58310-83ab-0135-d28f-1a4268480614/ultimat_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
38,39,MONOPOLOWA VODKA,3.99,40.0,This vodka's origins date back to 1782. It is a potato-based vodka and has a distinct blue label. It is popular in Poland and the US in addition to its home country of Austria.,"{""grain"":0,""earthy"":45,""spicy"":20,""herbal"":20,""oily"":35,""chemical"":25,""rich"":30,""sweet"":15,""mineral"":0,""neutral"":30,""harsh"":60,""bitter"":80,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/bd1ad200-8314-0135-b0d4-6654d75178dd/monopolowa_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
39,40,BROKEN SHED VODKA,4.57,40.0,"Broken Shed Vodka is made using a distillate base of whey, the by-product of dairy processing. It is triple distilled and uses water from both the South and North islands of New Zealand. It is certified gluten-free, Non-GMO, and has no additives, sugars or sweeteners added.",none,"https://ip-distiller.imgix.net/images/spirits/65300000-3b61-0137-bfbb-4e9c27edf4e0/broken_shed_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
